編號,物資存放點名稱,聯絡人,電話,所在縣市,存放點鄉鎮,存放點村里,存放點地址
1,中崙4鄰村長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中崙村,4鄰26號
2,東興村7鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,東興村,7鄰八寶寮6號
3,東興派出所,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,東興村,3鄰13號
4,中埔鄉公所,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中埔村,128號
5,灣潭村7鄰民宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,灣潭村,7鄰凍腳4號
6,中崙村6鄰前鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中崙村,6鄰中崙嶺6號
7,中崙村7鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中崙村,7鄰40號
8,中崙村8鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中崙村,8鄰石壁頭1號
9,中崙村9鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,中崙村,9鄰石壁頭8號
10,石?村1鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,石?村,1鄰永富4號
11,石?村4鄰鄰長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,石?村,4鄰石仔湖31號
12,中山國小藤寮仔童軍營區,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,石?村,6鄰藤寮仔54號
13,東興村長青會長宅,戴孟穎,05-2533321#105,嘉義縣,中埔鄉,東興村,5鄰凍仔頂25號
14,光華社區活動中心,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,光華村,5鄰27-1號
15,金獅村芊蓁坑,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,金獅村,8鄰16號
16,金獅村出水坑,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,金獅村,4鄰42號
17,金獅村東湖仔,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,金獅村,7鄰17號
18,仁壽村塘湖,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,仁壽村,10鄰27號
